Country,Clicks,Impressions,CTR,Position
United States,3,1036,0.29%,40.25
India,1,9,11.11%,78.78
Mexico,1,1,100%,1
Brazil,0,13,0%,35.54
Canada,0,4,0%,6.25
China,0,3,0%,4.33
Saudi Arabia,0,3,0%,16
Vietnam,0,2,0%,9.5
Germany,0,2,0%,27.5
Switzerland,0,2,0%,28
United Kingdom,0,2,0%,56.5
Macedonia,0,1,0%,1
Turkey,0,1,0%,2
Spain,0,1,0%,7
Thailand,0,1,0%,10
Ghana,0,1,0%,11
Norway,0,1,0%,11
Ukraine,0,1,0%,18
Ireland,0,1,0%,26
United Arab Emirates,0,1,0%,27
Chile,0,1,0%,27
Indonesia,0,1,0%,30
Egypt,0,1,0%,31
Uzbekistan,0,1,0%,32
Peru,0,1,0%,42
France,0,1,0%,77
Bulgaria,0,1,0%,93
